get_deployed_facilities	get_total_distance	get_total_distance_after_interdiction	get_interdicted_facilities
0	2147483647	0	0
1	533624.867076	0	0
45	81304.1061875	0	0
149	20.8806130178	0	0
150	0.0	0	0
43	87232.3646733	0	0
46	70992.7730562	0	0
48	61539.7279913	0	0
51	61452.457724	0	0
53	54983.8836447	0	0
56	52972.8220738	0	0
57	50862.2725039	0	0
58	50073.0771256	0	0
59	47576.9950029	0	0
60	44515.8380804	0	0
61	43236.0293149	0	0
65	42469.0106266	0	0
66	41271.7385798	0	0
67	39901.96459	0	0
68	39540.1798667	0	0
69	39513.0156438	0	0
70	38056.9993526	0	0
71	34930.566343	0	0
76	34103.6104013	0	0
77	32652.0085582	0	0
52	57915.0608778	0	0
55	53540.390071	0	0
81	31691.8281317	0	0
83	31637.1039046	0	0
87	28469.6437095	0	0
